varech	wawèt
potdechambre	dobann,pôtchanm
pouce	pous,gwodwèt
poudre	lapoud
poul	poul
poulailler	kay-poul
poupée	pôpôt
poursuite	zwèlséré
pousser	pousé
pousser(grandir)	pousé,pwofité
pouvwè	pouvoir
prefet	préfé
préfecture	lapréfèkti,préfèkti
prendre	pran
préservatif	fokal,chapo
préservation	prézèvasyon
préserver	prézèvé
preuve	prèv
prévoir	prévwè
prison	lajôl,laprizon,prizon
promesse	pwonmès
promettre	ponmèt,pwonmèt
prostate	blad-pisa
prostituée	manawa,bôbô
prostituer(se)	fèmanawa
proue	wagaba
puce	pis
puisque	pis
punaise	pinez
punir	pini
punition	pinision
purée	piré
purger	pijé
pus	matiè,pi,lapostim,limèquart	ka
quartd'heure	kardè
querelle	tren,ladjè
quereller	chachétren,siré
querelleur	chach-tren,sirèraccourci	chimen-dékoupé
raccourcir	rakousi
race	ras
raciste	rasis
rapide	rapid
rapidité	balan
rare	ra
rat	rat
rater	mantjé
rebuffade	bok,bouf
recette 	riset
refroidir	frédi,rifrédi
refroidissement	frédisman
retard	rita
retardataire	ritardatè
retarder	ritadé
retour	viré,déviré,ritou
rêve	rèv
rêver	révé
rêveur	révè
rhum	wonm;tafia
rire	ri
risque	riks,risk
roi 	wa
rond	won
rue 	lari
ruelle	riyelsaler	salé
savoir	sa,sav,konnet
scélérat	séléra,chyen,chyenfè,isalôp
scélératesse	chyennri,salopri,salopté
sec	chès,sèk
sécher	séché
sécheresse	chesres,sechres
sein	tété
sel	sel
semer 	simen
sentier	tras
sentir	santi
série	séri,latilié,etsétéra
sérieux 	sérié,sériez
serrure	séri
seul	sel;yonn
sieste	bas-tet,kanm,lasies
soeur	sésé,sè
soir	swè,oswè
sommeil	sonmèy
sommeiller	dômi;fèankanm,fèanpôztèt
sorcellerie	tjenbwa
sorcier	tjenbwazè,manntò
souffle	souf
souffre	souf
souffrance	soufwans
soulagement	soulajman,wouspèl
soulager	soulajé,baanwouspèl
souffrir	soufè
soupe-au-lait	soupoulèt
sourd	soud
sucette	sisèt
sucer	sisé;fèansous
suer	swé
sud	li-sid,sid
supplication	siplikasyon,tanprisouplé
supplice	siplis
supplier	sipliyé,mandétanprisouplétacot	bradjak
tambour	tanbou
tambourinaire	tanbouyé
tazard	taza
téléphone	téléfôn
téléphoner	téléfônen
tenirtête	tèsté
testicule	grenn
théâtre	téyat
timbre	tenm
timid	timide
timidité	timidité
tort	tô
touiller	lélé
tranquille	trantjil
tranquillité	trantjilité
transformateur	transfômatè
transformation	transfômasyon,mofwaz
transformer	transfômé,mofwazé
transport	transpô
triste	tris
tristesse	tristès,latristès
trou	tou,twou
trouble	twoub
troubler	twoublé
tuer	tjwé
tuf	tifun 	yonn
urine	pisa
uriner	pisé,fèpipi
usine	lizin
usinier	izinyévarech	wawèt
verrederhum	ponch,pétépyé,sèk,tisèk,foliba,maténonm
véritable	véritab
versatile	palayi-palaya
vie	lavi
vice	vis
vicieux	visyé,mako
vis	vis
voiture	loto
voler	vôlè
vorace	agoulou,agoulou-gran-fal,saf
voracité	agouloutri
vouloir	lé
voyou	vakabon
vrai	vré
